"event","host_city","host_country","year","round","participant_name","song","participant_country","running_order","total_points","rank","qualified","winner","event_link"
"helsinki 2007","Helsinki","Finland",2007,"semi final","Elitsa Todorova & Stoyan Yankulov","Water","Bulgaria",1,146,"6th",TRUE,FALSE,"https://eurovision.tv/event/helsinki-2007"
"helsinki 2007","Helsinki","Finland",2007,"semi final","Teapacks","Push The Button","Israel",2,17,"24th",FALSE,FALSE,"https://eurovision.tv/event/helsinki-2007"
"helsinki 2007","Helsinki","Finland",2007,"semi final","Evridiki","Comme Ci, Comme ça","Cyprus",3,65,"15th",FALSE,FALSE,"https://eurovision.tv/event/helsinki-2007"
"helsinki 2007","Helsinki","Finland",2007,"semi final","Dmitry Koldun","Work Your Magic","Belarus",4,176,"4th",TRUE,FALSE,"https://eurovision.tv/event/helsinki-2007"
"helsinki 2007","Helsinki","Finland",2007,"semi final","Eiríkur Hauksson","Valentine Lost","Iceland",5,77,"13th",FALSE,FALSE,"https://eurovision.tv/event/helsinki-2007"
"helsinki 2007","Helsinki","Finland",2007,"semi final","Sopho","Visionary Dream","Georgia",6,123,"8th",TRUE,FALSE,"https://eurovision.tv/event/helsinki-2007"
"helsinki 2007","Helsinki","Finland",2007,"semi final","Stevan Faddy","Ajde Kroci","Montenegro",7,33,"22nd",FALSE,FALSE,"https://eurovision.tv/event/helsinki-2007"
"helsinki 2007","Helsinki","Finland",2007,"semi final","DJ BoBo","Vampires Are Alive","Switzerland",8,40,"20th",FALSE,FALSE,"https://eurovision.tv/event/helsinki-2007"
"helsinki 2007","Helsinki","Finland",2007,"semi final","Natalia Barbu","Fight","Moldova",9,91,"10th",TRUE,FALSE,"https://eurovision.tv/event/helsinki-2007"
"helsinki 2007","Helsinki","Finland",2007,"semi final","Edsilia Rombley","On Top Of The World","Netherlands",10,38,"21st",FALSE,FALSE,"https://eurovision.tv/event/helsinki-2007"
"helsinki 2007","Helsinki","Finland",2007,"semi final","Aida & Frederik Ndoci","Hear My Plea","Albania",11,49,"17th",FALSE,FALSE,"https://eurovision.tv/event/helsinki-2007"
"helsinki 2007","Helsinki","Finland",2007,"semi final","DQ","Drama Queen","Denmark",12,45,"19th",FALSE,FALSE,"https://eurovision.tv/event/helsinki-2007"
"helsinki 2007","Helsinki","Finland",2007,"semi final","Dragonfly feat. Dado Topic","Vjerujem U Ljubav","Croatia",13,54,"16th",FALSE,FALSE,"https://eurovision.tv/event/helsinki-2007"
"helsinki 2007","Helsinki","Finland",2007,"semi final","The Jet Set","Time To Party","Poland",14,75,"14th",FALSE,FALSE,"https://eurovision.tv/event/helsinki-2007"
"helsinki 2007","Helsinki","Finland",2007,"semi final","Marija Šerifović","Molitva","Serbia",15,298,"1st",TRUE,TRUE,"https://eurovision.tv/event/helsinki-2007"
"helsinki 2007","Helsinki","Finland",2007,"semi final","Kabát","Malá Dáma","Czechia",16,1,"28th",FALSE,FALSE,"https://eurovision.tv/event/helsinki-2007"
"helsinki 2007","Helsinki","Finland",2007,"semi final","Sabrina","Dança Comigo (vem Ser Feliz)","Portugal",17,88,"11th",FALSE,FALSE,"https://eurovision.tv/event/helsinki-2007"
"helsinki 2007","Helsinki","Finland",2007,"semi final","Karolina","Mojot Svet","North Macedonia",18,97,"9th",TRUE,FALSE,"https://eurovision.tv/event/helsinki-2007"
"helsinki 2007","Helsinki","Finland",2007,"semi final","Guri Schanke","Ven A Bailar Conmigo","Norway",19,48,"18th",FALSE,FALSE,"https://eurovision.tv/event/helsinki-2007"
"helsinki 2007","Helsinki","Finland",2007,"semi final","Olivia Lewis","Vertigo","Malta",20,15,"25th",FALSE,FALSE,"https://eurovision.tv/event/helsinki-2007"
"helsinki 2007","Helsinki","Finland",2007,"semi final","Anonymous","Salvem El Món","Andorra",21,80,"12th",FALSE,FALSE,"https://eurovision.tv/event/helsinki-2007"
"helsinki 2007","Helsinki","Finland",2007,"semi final","Magdi Rúzsa","Unsubstantial Blues","Hungary",22,224,"2nd",TRUE,FALSE,"https://eurovision.tv/event/helsinki-2007"
"helsinki 2007","Helsinki","Finland",2007,"semi final","Gerli Padar","Partners In Crime","Estonia",23,33,"22nd",FALSE,FALSE,"https://eurovision.tv/event/helsinki-2007"
"helsinki 2007","Helsinki","Finland",2007,"semi final","The KMG's","Love Power","Belgium",24,14,"26th",FALSE,FALSE,"https://eurovision.tv/event/helsinki-2007"
"helsinki 2007","Helsinki","Finland",2007,"semi final","Alenka Gotar","Cvet Z Juga","Slovenia",25,140,"7th",TRUE,FALSE,"https://eurovision.tv/event/helsinki-2007"
"helsinki 2007","Helsinki","Finland",2007,"semi final","Kenan Dogulu","Shake It Up Shekerim","Türkiye",26,197,"3rd",TRUE,FALSE,"https://eurovision.tv/event/helsinki-2007"
"helsinki 2007","Helsinki","Finland",2007,"semi final","Eric Papilaya","Get A Life - Get Alive","Austria",27,4,"27th",FALSE,FALSE,"https://eurovision.tv/event/helsinki-2007"
"helsinki 2007","Helsinki","Finland",2007,"semi final","Bonaparti.lv","Questa Notte","Latvia",28,168,"5th",TRUE,FALSE,"https://eurovision.tv/event/helsinki-2007"
"athens 2006","Athens","Greece",2006,"semi final","André","Without Your Love","Armenia",1,150,"6th",TRUE,FALSE,"https://eurovision.tv/event/athens-2006"
"athens 2006","Athens","Greece",2006,"semi final","Mariana Popova","Let Me Cry","Bulgaria",2,36,"17th",FALSE,FALSE,"https://eurovision.tv/event/athens-2006"
"athens 2006","Athens","Greece",2006,"semi final","Anej Dean","Mr. Nobody","Slovenia",3,49,"16th",FALSE,FALSE,"https://eurovision.tv/event/athens-2006"
"athens 2006","Athens","Greece",2006,"semi final","Jennifer","Sense Tu","Andorra",4,8,"23rd",FALSE,FALSE,"https://eurovision.tv/event/athens-2006"
"athens 2006","Athens","Greece",2006,"semi final","Polina Smolova","Mum","Belarus",5,10,"22nd",FALSE,FALSE,"https://eurovision.tv/event/athens-2006"
"athens 2006","Athens","Greece",2006,"semi final","Luiz Ejlli","Zjarr E Ftohtë","Albania",6,58,"14th",FALSE,FALSE,"https://eurovision.tv/event/athens-2006"
"athens 2006","Athens","Greece",2006,"semi final","Kate Ryan","Je T'adore","Belgium",7,69,"12th",FALSE,FALSE,"https://eurovision.tv/event/athens-2006"
"athens 2006","Athens","Greece",2006,"semi final","Brian Kennedy","Every Song Is A Cry For Love","Ireland",8,79,"9th",TRUE,FALSE,"https://eurovision.tv/event/athens-2006"
"athens 2006","Athens","Greece",2006,"semi final","Annet Artani","Why Angels Cry","Cyprus",9,57,"15th",FALSE,FALSE,"https://eurovision.tv/event/athens-2006"
"athens 2006","Athens","Greece",2006,"semi final","Séverine Ferrer","La Coco-dance","Monaco",10,14,"21st",FALSE,FALSE,"https://eurovision.tv/event/athens-2006"
"athens 2006","Athens","Greece",2006,"semi final","Elena Risteska","Ninanajna","North Macedonia",11,76,"10th",TRUE,FALSE,"https://eurovision.tv/event/athens-2006"
"athens 2006","Athens","Greece",2006,"semi final","Ich Troje","Follow My Heart","Poland",12,70,"11th",FALSE,FALSE,"https://eurovision.tv/event/athens-2006"
"athens 2006","Athens","Greece",2006,"semi final","Dima Bilan","Never Let You Go","Russia",13,217,"3rd",TRUE,FALSE,"https://eurovision.tv/event/athens-2006"
"athens 2006","Athens","Greece",2006,"semi final","Sibel Tüzün","Superstar","Türkiye",14,91,"8th",TRUE,FALSE,"https://eurovision.tv/event/athens-2006"
"athens 2006","Athens","Greece",2006,"semi final","Tina Karol","Show Me Your Love","Ukraine",15,146,"7th",TRUE,FALSE,"https://eurovision.tv/event/athens-2006"
"athens 2006","Athens","Greece",2006,"semi final","Lordi","Hard Rock Hallelujah","Finland",16,292,"1st",TRUE,TRUE,"https://eurovision.tv/event/athens-2006"
"athens 2006","Athens","Greece",2006,"semi final","Treble","Amambanda","Netherlands",17,22,"20th",FALSE,FALSE,"https://eurovision.tv/event/athens-2006"
"athens 2006","Athens","Greece",2006,"semi final","LT United","We Are The Winners","Lithuania",18,163,"5th",TRUE,FALSE,"https://eurovision.tv/event/athens-2006"
"athens 2006","Athens","Greece",2006,"semi final","Nonstop","Coisas De Nada","Portugal",19,26,"19th",FALSE,FALSE,"https://eurovision.tv/event/athens-2006"
"athens 2006","Athens","Greece",2006,"semi final","Carola","Invincible","Sweden",20,214,"4th",TRUE,FALSE,"https://eurovision.tv/event/athens-2006"
"athens 2006","Athens","Greece",2006,"semi final","Sandra","Through My Window","Estonia",21,28,"18th",FALSE,FALSE,"https://eurovision.tv/event/athens-2006"
"athens 2006","Athens","Greece",2006,"semi final","Hari Mata Hari","Lejla","Bosnia & Herzegovina",22,267,"2nd",TRUE,FALSE,"https://eurovision.tv/event/athens-2006"
"athens 2006","Athens","Greece",2006,"semi final","Silvia Night","Congratulations","Iceland",23,62,"13th",FALSE,FALSE,"https://eurovision.tv/event/athens-2006"
"athens 2006","Athens","Greece",2006,"semi final","Withdrew from the competition, but still voted","","Serbia & Montenegro",24,NA,"24th",FALSE,FALSE,"https://eurovision.tv/event/athens-2006"
"kyiv 2005","Kyiv","Ukraine",2005,"semi final","Global.Kryner","Y Así","Austria",1,30,"21st",FALSE,FALSE,"https://eurovision.tv/event/kyiv-2005"
"kyiv 2005","Kyiv","Ukraine",2005,"semi final","Laura and the Lovers","Little By Little","Lithuania",2,17,"25th",FALSE,FALSE,"https://eurovision.tv/event/kyiv-2005"
"kyiv 2005","Kyiv","Ukraine",2005,"semi final","2B","Amar","Portugal",3,51,"17th",FALSE,FALSE,"https://eurovision.tv/event/kyiv-2005"
"kyiv 2005","Kyiv","Ukraine",2005,"semi final","Zdob si Zdub","Boonika Bate Toba","Moldova",4,207,"2nd",TRUE,FALSE,"https://eurovision.tv/event/kyiv-2005"
"kyiv 2005","Kyiv","Ukraine",2005,"semi final","Walter & Kazha","The War Is Not Over","Latvia",5,85,"10th",TRUE,FALSE,"https://eurovision.tv/event/kyiv-2005"
"kyiv 2005","Kyiv","Ukraine",2005,"semi final","Lise Darly","Tout De Moi","Monaco",6,22,"24th",FALSE,FALSE,"https://eurovision.tv/event/kyiv-2005"
